Time,Load
11:49:57.067,6.59799051
11:49:57.092,6.63182020
11:49:57.117,6.58997679
11:49:57.141,6.61175966
11:49:57.165,6.62566042
11:49:57.189,6.63241148
11:49:57.214,6.61038828
11:49:57.238,6.57157660
11:49:57.262,6.59440279
11:49:57.286,6.58957338
11:49:57.310,6.61819220
11:49:57.334,6.59847021
11:49:57.358,6.57926893
11:49:57.382,6.57906675
11:49:57.406,6.60399866
11:49:57.431,6.62980223
11:49:57.456,6.58996058
11:49:57.480,6.56753874
11:49:57.504,6.59259844
11:49:57.528,6.62378454
11:49:57.552,6.61743307
11:49:57.576,6.56021261
11:49:57.601,6.57724810
11:49:57.625,6.59298277
11:49:57.650,6.64390039
11:49:57.674,6.64210272
11:49:57.698,6.58366823
11:49:57.722,6.58754683
11:49:57.748,6.61136293
11:49:57.772,6.62836027
11:49:57.796,6.58764124
11:49:57.820,6.57323503
11:49:57.843,6.60526705
11:49:57.869,6.63790178
11:49:57.893,6.59581614
11:49:57.919,6.58201551
11:49:57.943,6.60519361
11:49:57.969,6.63993692
11:49:57.993,6.61599016
11:49:58.018,6.54811716
11:49:58.043,6.59190416
11:49:58.071,6.62698412
11:49:58.095,6.58783197
11:49:58.123,6.59083796
11:49:58.147,6.60744619
11:49:58.171,6.59729433
11:49:58.195,6.59346056
11:49:58.218,6.55948496
11:49:58.243,6.63875532
11:49:58.267,6.61529779
11:49:58.291,6.64077616
11:49:58.317,6.55850458
11:49:58.341,6.58480787
11:49:58.367,6.62865686
11:49:58.392,6.63533640
11:49:58.418,6.55902815
11:49:58.444,6.59514856
11:49:58.470,6.63399458
11:49:58.494,6.59668684
11:49:58.518,6.58129168
11:49:58.542,6.55544043
11:49:58.566,6.60651636
11:49:58.591,6.62878656
11:49:58.617,6.57631922
11:49:58.643,6.61038637
11:49:58.669,6.63679171
11:49:58.694,6.56500006
11:49:58.720,6.57276964
11:49:58.745,6.59873819
11:49:58.770,6.64688921
11:49:58.794,6.58548784
11:49:58.820,6.57525206
11:49:58.844,6.59888124
11:49:58.869,6.63077784
11:49:58.894,6.61456633
11:49:58.918,6.55013418
11:49:58.943,6.62337446
11:49:58.968,6.60954809
11:49:58.993,6.61645079
11:49:59.018,6.56448603
11:49:59.042,6.60364580
11:49:59.068,6.63704348
11:49:59.092,6.58661127
11:49:59.118,6.54734087
11:49:59.143,6.56877470
11:49:59.167,6.63000154
11:49:59.191,6.64625692
11:49:59.216,6.59060144
11:49:59.240,6.60174704
11:49:59.264,6.59876680
11:49:59.289,6.62705946
11:49:59.313,6.59551859
11:49:59.338,6.56722593
11:49:59.362,6.59938765
11:49:59.386,6.61537504
11:49:59.410,6.62903166
11:49:59.434,6.60056639
11:49:59.459,6.55822420
11:49:59.486,6.60525942
